,step,TRANSFER,PAYMENT,DEBIT,CASH_OUT,CASH_IN,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isMerchantOrig,isMerchantDest
6583,6,1,0,0,0,0,216422.0,216422.0,0.0,0.0,0.0,1,0,0
6584,6,0,0,0,1,0,216422.0,216422.0,0.0,10097.0,48630.5,1,0,0
6702,6,1,0,0,0,0,17320.91,17320.91,0.0,0.0,0.0,1,0,0
6703,6,0,0,0,1,0,17320.91,17320.91,0.0,6244.44,0.0,1,0,0
6706,6,1,0,0,0,0,17246.0,17246.0,0.0,0.0,101717.84,1,0,0
6707,6,0,0,0,1,0,17246.0,17246.0,0.0,0.0,17246.0,1,0,0
6897,6,1,0,0,0,0,10565.0,10565.0,0.0,0.0,0.0,1,0,0
6898,6,0,0,0,1,0,10565.0,10565.0,0.0,36275.0,24380.72,1,0,0
7002,6,1,0,0,0,0,10224.0,10224.0,0.0,0.0,0.0,1,0,0
7003,6,0,0,0,1,0,10224.0,10224.0,0.0,0.0,10224.0,1,0,0
7029,6,1,0,0,0,0,85354.69,85354.69,0.0,0.0,0.0,1,0,0
7030,6,0,0,0,1,0,85354.69,85354.69,0.0,11170.0,10612.55,1,0,0
7154,6,1,0,0,0,0,13704.0,13704.0,0.0,0.0,1658746.09,1,0,0
7155,6,0,0,0,1,0,13704.0,13704.0,0.0,3382.84,143675.35,1,0,0
9284,7,1,0,0,0,0,262434.54,262434.54,0.0,0.0,0.0,1,0,0
9285,7,0,0,0,1,0,262434.54,262434.54,0.0,19525.79,438233.86,1,0,0
10218,7,1,0,0,0,0,21729.0,21729.0,0.0,0.0,0.0,1,0,0
10219,7,0,0,0,1,0,21729.0,21729.0,0.0,27335.0,0.0,1,0,0
10395,7,1,0,0,0,0,5460002.91,5460002.91,0.0,0.0,0.0,1,0,0
10396,7,0,0,0,1,0,5460002.91,5460002.91,0.0,0.0,9281535.44,1,0,0
12179,7,1,0,0,0,0,164.0,164.0,0.0,0.0,0.0,1,0,0
12180,7,0,0,0,1,0,164.0,164.0,0.0,4068.0,0.0,1,0,0
12214,7,1,0,0,0,0,21571.0,21571.0,0.0,0.0,0.0,1,0,0
12215,7,0,0,0,1,0,21571.0,21571.0,0.0,30797.41,71140.3,1,0,0
12467,7,1,0,0,0,0,441445.58,441445.58,0.0,0.0,0.0,1,0,0
12468,7,0,0,0,1,0,441445.58,441445.58,0.0,98993.5,0.0,1,0,0
14861,8,0,0,0,1,0,181728.11,0.0,0.0,11397.0,184477.77,1,0,0
18771,8,1,0,0,0,0,222.0,222.0,0.0,0.0,267095.19,1,0,0
18772,8,0,0,0,1,0,222.0,222.0,0.0,24708.0,171647.35,1,0,0
24966,8,1,0,0,0,0,1996.17,1996.17,0.0,0.0,0.0,1,0,0
24967,8,0,0,0,1,0,1996.17,1996.17,0.0,2559.74,4555.92,1,0,0
25875,8,1,0,0,0,0,1078013.76,0.0,0.0,0.0,970749.68,1,0,0
33472,8,1,0,0,0,0,89631.24,89631.24,0.0,0.0,0.0,1,0,0
33473,8,0,0,0,1,0,89631.24,89631.24,0.0,21175.0,0.0,1,0,0
33913,8,1,0,0,0,0,29707.86,29707.86,0.0,0.0,0.0,1,0,0
33914,8,0,0,0,1,0,29707.86,29707.86,0.0,10935.0,0.0,1,0,0
34168,8,1,0,0,0,0,43092.0,43092.0,0.0,0.0,0.0,1,0,0
34169,8,0,0,0,1,0,43092.0,43092.0,0.0,660641.74,1158662.9,1,0,0
36026,9,1,0,0,0,0,556218.01,556218.01,0.0,0.0,0.0,1,0,0
36027,9,0,0,0,1,0,556218.01,556218.01,0.0,0.0,582265.81,1,0,0
36691,9,1,0,0,0,0,11308.0,11308.0,0.0,0.0,0.0,1,0,0
36692,9,0,0,0,1,0,11308.0,11308.0,0.0,0.0,302550.56,1,0,0
47144,9,1,0,0,0,0,350705.74,350705.74,0.0,0.0,1184633.07,1,0,0
47145,9,0,0,0,1,0,350705.74,350705.74,0.0,894760.68,1794033.65,1,0,0
49825,9,1,0,0,0,0,2539898.07,2539898.07,0.0,0.0,261290.69,1,0,0
49826,9,0,0,0,1,0,2539898.07,2539898.07,0.0,968.0,1842864.22,1,0,0
49885,9,1,0,0,0,0,361559.69,361559.69,0.0,0.0,141302.12,1,0,0
49886,9,0,0,0,1,0,361559.69,361559.69,0.0,504667.31,189441.24,1,0,0
56477,9,1,0,0,0,0,1154353.99,1154353.99,0.0,0.0,10872.9,1,0,0
56478,9,0,0,0,1,0,1154353.99,1154353.99,0.0,162222.0,1965587.6,1,0,0
58307,9,1,0,0,0,0,21922.0,21922.0,0.0,0.0,0.0,1,0,0
58308,9,0,0,0,1,0,21922.0,21922.0,0.0,1929861.61,2046918.8,1,0,0
60853,9,1,0,0,0,0,994453.2,1437370.87,442917.67,194812.76,665743.67,1,0,0
69201,9,1,0,0,0,0,1055.0,1055.0,0.0,0.0,0.0,1,0,0
69202,9,0,0,0,1,0,1055.0,1055.0,0.0,75179.0,0.0,1,0,0
72510,9,1,0,0,0,0,244068.01,244068.01,0.0,0.0,0.0,1,0,0
72511,9,0,0,0,1,0,244068.01,244068.01,0.0,0.0,338538.16,1,0,0
72930,10,1,0,0,0,0,59835.0,59835.0,0.0,0.0,0.0,1,0,0
72931,10,0,0,0,1,0,59835.0,59835.0,0.0,255480.76,315315.76,1,0,0
77745,10,0,0,0,1,0,277970.88,0.0,0.0,0.0,277970.88,1,0,0
90070,10,1,0,0,0,0,93810.76,93810.76,0.0,0.0,0.0,1,0,0
90071,10,0,0,0,1,0,93810.76,93810.76,0.0,4096048.05,4189858.81,1,0,0
99371,10,1,0,0,0,0,503405.88,503405.88,0.0,0.0,0.0,1,0,0
99372,10,0,0,0,1,0,503405.88,503405.88,0.0,29669.0,533074.88,1,0,0
102180,10,1,0,0,0,0,2662734.59,2662734.59,0.0,0.0,0.0,1,0,0
102181,10,0,0,0,1,0,2662734.59,2662734.59,0.0,14165.62,2930405.33,1,0,0
102607,10,1,0,0,0,0,9217.19,9217.19,0.0,0.0,96795.6,1,0,0
102608,10,0,0,0,1,0,9217.19,9217.19,0.0,0.0,9217.19,1,0,0
136419,11,1,0,0,0,0,2100.0,2100.0,0.0,0.0,0.0,1,0,0
136420,11,0,0,0,1,0,2100.0,2100.0,0.0,112512.48,114612.48,1,0,0
138559,11,1,0,0,0,0,1933920.8,0.0,0.0,1283762.85,3217683.65,1,0,0
141634,11,1,0,0,0,0,313418.28,313418.28,0.0,0.0,97980.88,1,0,0
141635,11,0,0,0,1,0,313418.28,313418.28,0.0,688164.64,1029922.17,1,0,0
142087,11,1,0,0,0,0,12461.0,12461.0,0.0,0.0,0.0,1,0,0
142088,11,0,0,0,1,0,12461.0,12461.0,0.0,27964.11,40425.11,1,0,0
146627,12,1,0,0,0,0,19472.0,19472.0,0.0,0.0,0.0,1,0,0
146628,12,0,0,0,1,0,19472.0,19472.0,0.0,0.0,19472.0,1,0,0
151657,12,1,0,0,0,0,3964129.99,3964129.99,0.0,0.0,0.0,1,0,0
151658,12,0,0,0,1,0,3964129.99,3964129.99,0.0,1912955.54,5811064.07,1,0,0
151924,12,1,0,0,0,0,1041647.06,1041647.06,0.0,0.0,0.0,1,0,0
151925,12,0,0,0,1,0,1041647.06,1041647.06,0.0,52730.33,1094377.39,1,0,0
167556,12,1,0,0,0,0,2066467.64,2066467.64,0.0,0.0,81209.81,1,0,0
167557,12,0,0,0,1,0,2066467.64,2066467.64,0.0,194510.24,3098566.67,1,0,0
169998,12,0,0,0,1,0,149668.66,0.0,0.0,44170.11,193838.76,1,0,0
174584,12,1,0,0,0,0,2007.0,2007.0,0.0,0.0,0.0,1,0,0
174585,12,0,0,0,1,0,2007.0,2007.0,0.0,129917.8,250910.76,1,0,0
178668,12,0,0,0,1,0,222048.71,0.0,0.0,2979.0,225027.71,1,0,0
181900,12,1,0,0,0,0,8677.0,8677.0,0.0,0.0,0.0,1,0,0
181901,12,0,0,0,1,0,8677.0,8677.0,0.0,225127.62,233804.62,1,0,0
182861,13,1,0,0,0,0,408.0,408.0,0.0,0.0,226013.18,1,0,0
182862,13,0,0,0,1,0,408.0,408.0,0.0,898297.85,1075854.14,1,0,0
193765,13,1,0,0,0,0,48375.02,48375.02,0.0,0.0,0.0,1,0,0
193766,13,0,0,0,1,0,48375.02,48375.02,0.0,374803.26,658520.33,1,0,0
196775,13,1,0,0,0,0,4022667.54,4022667.54,0.0,0.0,0.0,1,0,0
196776,13,0,0,0,1,0,4022667.54,4022667.54,0.0,80136.56,4057191.21,1,0,0
200845,13,0,0,0,1,0,454859.39,0.0,0.0,0.0,454859.39,1,0,0
202361,13,1,0,0,0,0,1161495.82,1161495.82,0.0,0.0,0.0,1,0,0
202362,13,0,0,0,1,0,1161495.82,1161495.82,0.0,319036.02,1565123.81,1,0,0
204215,13,1,0,0,0,0,2686564.04,2686564.04,0.0,0.0,0.0,1,0,0
204216,13,0,0,0,1,0,2686564.04,2686564.04,0.0,438199.37,3124763.41,1,0,0
217320,13,1,0,0,0,0,6188514.81,6188514.81,0.0,0.0,0.0,1,0,0
217321,13,0,0,0,1,0,6188514.81,6188514.81,0.0,381607.21,6424681.56,1,0,0
217978,13,1,0,0,0,0,123194.95,79466.45,0.0,535933.16,263908.84,1,0,0
222997,14,1,0,0,0,0,2093951.47,2093951.47,0.0,0.0,0.0,1,0,0
222998,14,0,0,0,1,0,2093951.47,2093951.47,0.0,0.0,2093951.47,1,0,0
241947,14,1,0,0,0,0,143032.0,143032.0,0.0,0.0,0.0,1,0,0
241948,14,0,0,0,1,0,143032.0,143032.0,0.0,814654.61,1020323.73,1,0,0
242982,14,1,0,0,0,0,2927005.15,2927005.15,0.0,0.0,0.0,1,0,0
242983,14,0,0,0,1,0,2927005.15,2927005.15,0.0,0.0,2994420.07,1,0,0
248771,14,1,0,0,0,0,1832319.42,1832319.42,0.0,0.0,0.0,1,0,0
248772,14,0,0,0,1,0,1832319.42,1832319.42,0.0,43962.42,2440139.69,1,0,0
255701,14,1,0,0,0,0,1561891.66,1561891.66,0.0,0.0,0.0,1,0,0
255702,14,0,0,0,1,0,1561891.66,1561891.66,0.0,3471928.95,6443177.56,1,0,0
259844,14,1,0,0,0,0,65488.05,65488.05,0.0,0.0,0.0,1,0,0
259845,14,0,0,0,1,0,65488.05,65488.05,0.0,0.0,65488.05,1,0,0
271116,15,1,0,0,0,0,696763.08,696763.08,0.0,0.0,69861.26,1,0,0
271117,15,0,0,0,1,0,696763.08,696763.08,0.0,366114.58,1347073.81,1,0,0
277265,15,1,0,0,0,0,119.0,119.0,0.0,0.0,0.0,1,0,0
277266,15,0,0,0,1,0,119.0,119.0,0.0,4844060.13,4844179.13,1,0,0
277990,15,1,0,0,0,0,128473.62,128473.62,0.0,0.0,0.0,1,0,0
277991,15,0,0,0,1,0,128473.62,128473.62,0.0,0.0,128473.62,1,0,0
285019,15,1,0,0,0,0,248056.41,248056.41,0.0,0.0,0.0,1,0,0
285020,15,0,0,0,1,0,248056.41,248056.41,0.0,0.0,201427.47,1,0,0
286185,15,1,0,0,0,0,164500.81,164500.81,0.0,0.0,0.0,1,0,0
286186,15,0,0,0,1,0,164500.81,164500.81,0.0,685636.21,850137.02,1,0,0
288376,15,1,0,0,0,0,212089.74,212089.74,0.0,0.0,0.0,1,0,0
288377,15,0,0,0,1,0,212089.74,212089.74,0.0,257758.48,469848.23,1,0,0
291459,15,0,0,0,1,0,95428.32,0.0,0.0,0.0,95428.32,1,0,0
296686,15,0,0,0,1,0,39713.28,0.0,0.0,1274866.51,1314579.79,1,0,0
301801,15,1,0,0,0,0,170.0,170.0,0.0,0.0,0.0,1,0,0
301802,15,0,0,0,1,0,170.0,170.0,0.0,413421.36,345764.15,1,0,0
302331,15,1,0,0,0,0,747282.4,747282.4,0.0,0.0,0.0,1,0,0
302332,15,0,0,0,1,0,747282.4,747282.4,0.0,5340917.82,6088200.22,1,0,0
303659,15,1,0,0,0,0,59385.67,59385.67,0.0,0.0,0.0,1,0,0
303660,15,0,0,0,1,0,59385.67,59385.67,0.0,74371.0,133756.67,1,0,0
318373,16,1,0,0,0,0,2198224.71,2198224.71,0.0,0.0,0.0,1,0,0
318374,16,0,0,0,1,0,2198224.71,2198224.71,0.0,0.0,2198224.71,1,0,0
327761,16,1,0,0,0,0,828720.89,828720.89,0.0,0.0,0.0,1,0,0
327762,16,0,0,0,1,0,828720.89,828720.89,0.0,9142622.59,10184336.54,1,0,0
338007,16,1,0,0,0,0,2701905.3,2701905.3,0.0,0.0,0.0,1,0,0
338008,16,0,0,0,1,0,2701905.3,2701905.3,0.0,57418.0,2759323.3,1,0,0
343300,16,1,0,0,0,0,31074.0,31074.0,0.0,0.0,0.0,1,0,0
343301,16,0,0,0,1,0,31074.0,31074.0,0.0,0.0,31074.0,1,0,0
347734,16,1,0,0,0,0,121626.82,121626.82,0.0,0.0,0.0,1,0,0
347735,16,0,0,0,1,0,121626.82,121626.82,0.0,653744.34,775371.16,1,0,0
368258,17,1,0,0,0,0,1639676.27,1639676.27,0.0,0.0,0.0,1,0,0
368259,17,0,0,0,1,0,1639676.27,1639676.27,0.0,448954.92,2198318.48,1,0,0
369526,17,1,0,0,0,0,305627.0,305627.0,0.0,0.0,0.0,1,0,0
369527,17,0,0,0,1,0,305627.0,305627.0,0.0,7699847.16,8005474.16,1,0,0
376840,17,1,0,0,0,0,195351.76,195351.76,0.0,0.0,0.0,1,0,0
376841,17,0,0,0,1,0,195351.76,195351.76,0.0,156408.25,265841.0,1,0,0
377151,17,0,0,0,1,0,42062.82,340830.43,298767.61,398931.35,678419.64,1,0,0
397546,18,1,0,0,0,0,295664.18,295664.18,0.0,0.0,0.0,1,0,0
397547,18,0,0,0,1,0,295664.18,295664.18,0.0,10184336.54,10480000.72,1,0,0
404428,18,1,0,0,0,0,307739.18,307739.18,0.0,0.0,0.0,1,0,0
404429,18,0,0,0,1,0,307739.18,307739.18,0.0,25326.0,838246.41,1,0,0
408955,18,0,0,0,1,0,314251.58,75956.47,0.0,7962205.25,8276456.84,1,0,0
410905,18,1,0,0,0,0,1102133.9,1102133.9,0.0,0.0,746575.95,1,0,0
410906,18,0,0,0,1,0,1102133.9,1102133.9,0.0,306228.56,1408362.45,1,0,0
414521,18,1,0,0,0,0,1144089.37,1144089.37,0.0,0.0,0.0,1,0,0
414522,18,0,0,0,1,0,1144089.37,1144089.37,0.0,2502877.26,3879210.29,1,0,0
421523,18,1,0,0,0,0,1974352.3,1974352.3,0.0,0.0,0.0,1,0,0
421524,18,0,0,0,1,0,1974352.3,1974352.3,0.0,15531.71,1989884.01,1,0,0
421585,18,1,0,0,0,0,11481.0,11481.0,0.0,0.0,263492.28,1,0,0
421586,18,0,0,0,1,0,11481.0,11481.0,0.0,761417.61,1765080.5,1,0,0
424928,18,0,0,0,1,0,508782.2,0.0,0.0,1082007.65,1590789.85,1,0,0
437291,18,1,0,0,0,0,9131.0,9131.0,0.0,0.0,0.0,1,0,0
437292,18,0,0,0,1,0,9131.0,9131.0,0.0,133084.02,142215.02,1,0,0
464597,19,1,0,0,0,0,143660.11,143660.11,0.0,0.0,0.0,1,0,0
464598,19,0,0,0,1,0,143660.11,143660.11,0.0,0.0,143660.11,1,0,0
474966,19,1,0,0,0,0,3477438.49,3477438.49,0.0,0.0,0.0,1,0,0
474967,19,0,0,0,1,0,3477438.49,3477438.49,0.0,0.0,3477438.49,1,0,0
479636,19,0,0,0,1,0,122101.57,0.0,0.0,0.0,639940.2,1,0,0
480463,19,1,0,0,0,0,161939.36,161939.36,0.0,0.0,0.0,1,0,0
480464,19,0,0,0,1,0,161939.36,161939.36,0.0,628935.02,851972.34,1,0,0
481250,19,1,0,0,0,0,10000000.0,11861008.32,1861008.32,0.0,0.0,1,0,0
481251,19,0,0,0,1,0,10000000.0,10000000.0,0.0,504326.62,10342417.9,1,0,0
481252,19,1,0,0,0,0,1861008.32,1861008.32,0.0,0.0,0.0,1,0,0
481253,19,0,0,0,1,0,1861008.32,1861008.32,0.0,0.0,1789942.62,1,0,0
499609,20,1,0,0,0,0,16614.82,16614.82,0.0,0.0,0.0,1,0,0
499610,20,0,0,0,1,0,16614.82,16614.82,0.0,904409.29,921024.11,1,0,0
522655,20,1,0,0,0,0,448025.06,448025.06,0.0,0.0,0.0,1,0,0
522656,20,0,0,0,1,0,448025.06,448025.06,0.0,71679.93,519704.99,1,0,0
537962,21,1,0,0,0,0,785323.0,785323.0,0.0,0.0,0.0,1,0,0
537963,21,0,0,0,1,0,785323.0,785323.0,0.0,803839.25,1720783.92,1,0,0
538753,21,1,0,0,0,0,158299.34,158299.34,0.0,0.0,0.0,1,0,0
538754,21,0,0,0,1,0,158299.34,158299.34,0.0,36152.54,271369.74,1,0,0
543928,21,0,0,0,1,0,23292.3,0.0,0.0,392364.62,415656.92,1,0,0
553050,22,1,0,0,0,0,346704.55,346704.55,0.0,0.0,0.0,1,0,0
553051,22,0,0,0,1,0,346704.55,346704.55,0.0,513994.79,860699.34,1,0,0
554857,22,1,0,0,0,0,461509.86,461509.86,0.0,0.0,0.0,1,0,0
554858,22,0,0,0,1,0,461509.86,461509.86,0.0,302583.81,764093.67,1,0,0
554875,22,1,0,0,0,0,37100.29,37100.29,0.0,0.0,0.0,1,0,0
554876,22,0,0,0,1,0,37100.29,37100.29,0.0,433212.41,470312.7,1,0,0
555101,22,1,0,0,0,0,235512.2,235512.2,0.0,0.0,0.0,1,0,0
555102,22,0,0,0,1,0,235512.2,235512.2,0.0,8490637.21,9272647.09,1,0,0
555789,22,1,0,0,0,0,2068118.36,2068118.36,0.0,0.0,0.0,1,0,0
555790,22,0,0,0,1,0,2068118.36,2068118.36,0.0,3054285.45,5122403.81,1,0,0
556187,22,1,0,0,0,0,74804.24,74804.24,0.0,0.0,0.0,1,0,0
556188,22,0,0,0,1,0,74804.24,74804.24,0.0,0.0,74804.24,1,0,0
556508,22,1,0,0,0,0,489767.32,489767.32,0.0,0.0,0.0,1,0,0
556509,22,0,0,0,1,0,489767.32,489767.32,0.0,0.0,489767.32,1,0,0
556521,22,1,0,0,0,0,379878.0,379878.0,0.0,0.0,0.0,1,0,0
556522,22,0,0,0,1,0,379878.0,379878.0,0.0,1301414.19,1681292.19,1,0,0
559979,22,0,0,0,1,0,89571.46,4505.6,0.0,1929428.01,2018999.47,1,0,0
562125,22,1,0,0,0,0,1258956.71,1258956.71,0.0,0.0,0.0,1,0,0
562126,22,0,0,0,1,0,1258956.71,1258956.71,0.0,4736010.72,5994967.43,1,0,0
562242,22,1,0,0,0,0,77773.14,77773.14,0.0,0.0,0.0,1,0,0
562243,22,0,0,0,1,0,77773.14,77773.14,0.0,1853403.61,1931176.75,1,0,0
562862,22,1,0,0,0,0,239646.72,239646.72,0.0,0.0,0.0,1,0,0
562863,22,0,0,0,1,0,239646.72,239646.72,0.0,2208970.26,2448616.98,1,0,0
566149,23,1,0,0,0,0,146127.1,146127.1,0.0,0.0,0.0,1,0,0
566150,23,0,0,0,1,0,146127.1,146127.1,0.0,177874.39,324001.49,1,0,0
571496,24,1,0,0,0,0,291305.98,291305.98,0.0,0.0,0.0,1,0,0
571497,24,0,0,0,1,0,291305.98,291305.98,0.0,954554.82,1247963.68,1,0,0
572194,24,1,0,0,0,0,986876.27,986876.27,0.0,0.0,0.0,1,0,0
572195,24,0,0,0,1,0,986876.27,986876.27,0.0,57853.96,1044730.24,1,0,0
572854,24,1,0,0,0,0,6844.73,6844.73,0.0,0.0,0.0,1,0,0
572855,24,0,0,0,1,0,6844.73,6844.73,0.0,264100.7,270945.42,1,0,0
574433,25,1,0,0,0,0,8383.17,8383.17,0.0,0.0,0.0,1,0,0
574434,25,0,0,0,1,0,8383.17,8383.17,0.0,6577262.64,6585645.81,1,0,0
574482,25,1,0,0,0,0,781953.11,781953.11,0.0,0.0,0.0,1,0,0
574483,25,0,0,0,1,0,781953.11,781953.11,0.0,0.0,781953.11,1,0,0
574713,25,1,0,0,0,0,217231.0,217231.0,0.0,0.0,0.0,1,0,0
574714,25,0,0,0,1,0,217231.0,217231.0,0.0,7236671.1,7453902.1,1,0,0
574957,25,1,0,0,0,0,44829.81,44829.81,0.0,0.0,0.0,1,0,0
574958,25,0,0,0,1,0,44829.81,44829.81,0.0,301552.31,346382.12,1,0,0
574960,25,1,0,0,0,0,296333.54,296333.54,0.0,0.0,0.0,1,0,0
574961,25,0,0,0,1,0,296333.54,296333.54,0.0,3355664.68,3651998.22,1,0,0
574991,25,1,0,0,0,0,18126.95,18126.95,0.0,0.0,0.0,1,0,0
574992,25,0,0,0,1,0,18126.95,18126.95,0.0,0.0,18126.95,1,0,0
575028,25,1,0,0,0,0,249159.26,249159.26,0.0,0.0,0.0,1,0,0
575029,25,0,0,0,1,0,249159.26,249159.26,0.0,285997.41,535156.67,1,0,0
575511,25,1,0,0,0,0,1698263.69,1698263.69,0.0,0.0,0.0,1,0,0
575512,25,0,0,0,1,0,1698263.69,1698263.69,0.0,0.0,1698263.69,1,0,0
575768,25,1,0,0,0,0,802382.45,802382.45,0.0,0.0,0.0,1,0,0
575769,25,0,0,0,1,0,802382.45,802382.45,0.0,0.0,802382.45,1,0,0
575854,26,1,0,0,0,0,37065.55,37065.55,0.0,0.0,0.0,1,0,0
575855,26,0,0,0,1,0,37065.55,37065.55,0.0,1396327.66,1433393.21,1,0,0
576000,26,1,0,0,0,0,369186.87,369186.87,0.0,0.0,0.0,1,0,0
576001,26,0,0,0,1,0,369186.87,369186.87,0.0,36224.11,405410.97,1,0,0
576022,26,1,0,0,0,0,78741.64,78741.64,0.0,0.0,0.0,1,0,0
576023,26,0,0,0,1,0,78741.64,78741.64,0.0,48628.52,127370.16,1,0,0
576027,26,1,0,0,0,0,1646181.09,1646181.09,0.0,0.0,0.0,1,0,0
576028,26,0,0,0,1,0,1646181.09,1646181.09,0.0,220025.2,1866206.29,1,0,0
576160,26,1,0,0,0,0,331829.94,331829.94,0.0,0.0,0.0,1,0,0
576161,26,0,0,0,1,0,331829.94,331829.94,0.0,792855.99,1124685.94,1,0,0
576166,26,1,0,0,0,0,1027152.36,1027152.36,0.0,0.0,0.0,1,0,0
576167,26,0,0,0,1,0,1027152.36,1027152.36,0.0,519428.56,1546580.92,1,0,0
576300,27,1,0,0,0,0,494244.61,494244.61,0.0,0.0,0.0,1,0,0
576301,27,0,0,0,1,0,494244.61,494244.61,0.0,653451.43,1147696.03,1,0,0
576319,27,1,0,0,0,0,329937.88,329937.88,0.0,0.0,0.0,1,0,0
576320,27,0,0,0,1,0,329937.88,329937.88,0.0,349407.23,679345.1,1,0,0
576324,27,1,0,0,0,0,496128.26,496128.26,0.0,0.0,0.0,1,0,0
576325,27,0,0,0,1,0,496128.26,496128.26,0.0,465770.07,961898.33,1,0,0
576332,27,1,0,0,0,0,1218165.88,1218165.88,0.0,0.0,0.0,1,0,0
576333,27,0,0,0,1,0,1218165.88,1218165.88,0.0,742564.27,1960730.15,1,0,0
